id,language
49803,English
8987,English
1637,English
15128,English
8831,English
36955,English
10449,English
10395,English
12160,English
40480,English
52038,English
29444,English
26352,English
39953,English
41580,French
315,English
22067,English
18242,English
11667,English
32502,English
267188,English
28732,English
75555,English
42981,English
278939,English
291731,English
226229,English
203119,English
172923,English
316098,English
8011,English
171857,English
2654,English
18069,English
19092,English
2758,English
38129,English
10436,English
13595,English
46094,English
9409,English
11853,English
16771,English
46924,English
11041,English
306,English
14522,English
26203,English
178,English
19819,English
57834,English
4722,English
18215,English
1607,English
26391,English
117553,English
6075,English
11310,English
18658,English
9350,English
9612,English
2124,English
26261,English
19176,English
49299,English
11566,English
9571,English
9739,English
24257,English
34444,English
26141,English
10997,Chinese
50463,English
10443,English
20239,English
16297,English
18551,English
25440,English
9024,English
37233,English
1634,English
13815,English
5503,English
35588,English
2087,English
41579,English
18620,English
41006,English
4916,English
2019,English
31642,English
9255,English
26271,English
10612,English
2259,English
16097,English
11934,English
106143,English
12475,English
9386,English
7984,English
59930,English
15765,English
31643,English
6,English
329,English
10909,English
507,English
34024,English
29918,English
9593,English
42580,English
22317,English
1413,English
12121,English
2246,English
10502,English
10440,English
9516,English
2320,English
5879,Japanese
83718,English
11971,English
2625,English
31911,English
788,English
21450,English
11231,English
41588,English
10447,English
31586,English
9300,English
9559,English
9800,English
713,English
8291,English
18133,English
25557,English
22588,English
10872,English
1245,English
11858,English
7007,English
10467,English
5550,English
8005,English
2088,English
10412,English
47889,English
14534,English
56583,English
41878,French
424,English
35233,English
14291,English
103413,English
11236,English
11592,English
8850,English
10445,English
695,English
43535,English
12519,English
23210,English
858,English
867,English
78,English
13203,English
10442,English
11074,English
33367,English
9607,English
17585,English
9057,English
20967,English
10635,English
9479,English
10057,English
11969,English
41590,English
319,English
26408,English
15139,English
161158,English
218473,English
85247,English
11446,English
51980,English
24405,English
11655,English
11800,English
8223,Spanish
14587,English
31504,English
41653,Swedish
53185,English
95743,English
23637,English
17600,English
10897,English
349394,English
21352,English
68806,Italian
37345,English
32562,English
47507,English
25403,Italian
124304,English
9066,English
771,English
251,English
812,English
280,English
581,English
80350,English
268,English
274,English
408,English
10020,English
10895,English
114,English
41043,Russian
576,English
15477,English
59146,English
124472,English
30528,English
7300,English
10824,English
261246,English
275,English
25059,English
11827,English
8766,English
23570,English
47333,English
54850,English
51242,Italian
10112,English
4307,Spanish
46029,English
32308,English
88893,German
52873,French
123505,English
340210,English
44281,English
28121,English
12520,English
1592,English
166901,English
36447,English
19042,English
38884,English
47449,English
36259,English
41852,English
40926,English
9099,English
2021,English
61752,English
10988,English
11479,French
398959,German
287305,German
339428,German
12652,French
10684,English
954,English
68445,German
18989,English
10801,German
54285,Korean
8840,English
278978,German
124625,German
11107,English
16417,English
70934,English
10363,French
161070,English
10539,English
10543,English
18414,English
47502,English
11902,Serbian
27098,Swedish
25087,English
5801,Bangla
896,Bangla
3065,English
318177,English
2300,English
8069,English
288173,English
187851,English
27768,English
221917,English
8072,French
35797,French
88030,English
185191,English
83857,English
33245,English
124460,English
27281,English
105045,German
40001,English
29621,English
117730,Hebrew
20762,English
37144,English
48260,English
12656,English
38867,English
277270,English
25969,English
44103,Dutch
753,English
43634,English
9103,English
90214,English
29649,English
10990,English
8866,English
12233,English
23449,English
36355,English
37667,English
90148,English
922,English
11876,English
52633,English
62364,Spanish
11687,French
9304,English
73183,English
131232,English
9100,English
20759,English
46063,English
365371,English
32513,English
40651,English
36915,English
40507,English
9802,English
25697,English
21588,Italian
664,English
11867,English
47119,French
314352,German
9323,Japanese
10280,English
10535,English
124613,English
532,English
26744,English
16299,English
10547,English
245268,English
935,English
55613,English
215107,English
41007,English
35645,English
110465,English
255546,Portuguese
40751,Chinese
275096,English
85778,English
11101,German
9826,English
9879,English
63564,English
22621,English
7095,English
26890,English
46732,English
124633,Serbian
202425,French
196940,English
77771,Wolof
181083,French
41225,French
188589,English
87190,English
627,English
32872,English
602,English
14553,English
9566,English
10545,English
9894,English
11543,English
9268,English
52059,English
9327,English
123763,Spanish
81949,Romanian
42005,English
124306,English
183955,English
44535,English
44495,English
78285,French
11228,English
10779,English
26748,English
38223,English
9294,English
49963,English
11363,English
1645,English
31546,English
77056,French
36344,English
18550,English
11511,English
172198,Hungarian
34170,English
281085,English
109478,English
124645,English
12606,English
69895,English
35206,French
151489,Welsh
4837,French
12632,German
9098,German
282919,German
124614,English
18975,English
11962,English
2925,English
28628,English
3595,English
9308,English
92381,English
18555,English
12123,English
10830,English
3573,English
10546,English
18862,English
31417,French
9431,English
124619,English
297645,English
48144,Chinese
46986,English
144982,English
47907,English
10061,English
36266,Vietnamese
549,English
10478,English
66634,English
116690,Japanese
213917,French
145925,Italian
100914,English
238,English
159,German
11134,Chinese
88224,English
132641,Japanese
42758,English
9303,English
23945,English
37820,English
22479,English
9054,English
241058,German
11985,Chinese
10232,German
59569,English
410921,English
38955,Chinese
110513,English
114089,English
11015,English
9306,English
12559,English
58770,English
124851,English
3587,English
10723,English
56077,English
19004,English
101230,Dutch
253632,French
10987,English
44705,English
20318,English
43596,German
79782,English
26933,French
27854,English
981,English
872,English
2769,English
13320,English
164,English
426,English
567,English
3078,English
13528,English
28288,English
213,English
284,English
239,English
4808,English
289,English
963,English
11113,English
6620,English
804,English
26531,English
909,English
630,English
770,English
31044,English
599,English
15,English
62,English
121357,English
705,English
22490,English
223,English
25670,English
303,English
4174,English
8356,English
381,English
20758,English
29376,English
1859,English
18299,English
17281,English
64382,Italian
10907,English
32093,English
1939,English
22292,English
3598,English
3080,English
198,English
13562,English
1712,English
220,English
3529,English
3085,English
2897,English
1585,English
3083,English
900,English
43795,English
85638,English
50001,English
43905,English
22688,English
23114,English
26378,English
40206,English
22356,English
260,English
43488,English
22613,English
10331,English
488,English
22733,English
261,English
57575,English
32574,English
22657,English
76464,English
22649,English
176841,English
125587,English
39448,Chinese
52855,English
39940,English
172868,English
85328,English
124632,English
11076,English
63945,English
58985,English
890,German
10861,English
1770,English
44465,English
2033,English
18203,English
9333,English
47260,English
9400,English
9401,English
12241,English
25739,English
161806,English
11306,English
9625,English
10680,English
6346,English
18660,English
35115,English
14821,English
14136,English
10869,English
22660,English
19186,English
31102,English
6878,English
15944,English
18444,English
20723,English
173,English
864,English
24795,English
11224,English
81310,English
15947,English
9078,English
29682,English
8367,English
433,English
11360,English
11114,English
12335,English
12092,English
10948,English
11229,English
15121,English
562,English
10163,English
48862,English
117036,English
47199,English
11159,English
9591,English
30500,English
41843,English
55058,English
10938,English
11412,English
10586,English
42314,English
27845,English
108365,English
23223,English
49471,English
38153,English
25147,English
9716,English
43777,Spanish
454,English
10218,English
819,English
38191,English
56830,English
11238,English
27256,English
31530,English
66473,English
28120,English
1834,English
26282,English
37218,English
252,English
116356,Italian
16372,English
11561,English
11302,English
623,English
583,English
12614,English
21711,English
11575,English
475,English
11331,English
521,English
21202,English
88,English
500,English
792,English
8491,English
402,English
10537,English
11386,English
9504,English
15764,English
601,English
67365,English
25842,English
2119,English
744,English
136311,English
221,English
702,English
25750,English
17642,English
427043,German
146341,Spanish
9305,French
37616,English
11112,English
21612,English
141210,English
102461,French
36998,French
200383,English
116844,English
1630,English
26626,English
124837,English
11816,English
11843,English
10379,English
2756,English
790,English
1103,English
11298,English
4480,French
4481,French
49688,Spanish
10765,English
762,English
44497,English
85588,English
278621,English
99479,English
55049,English
124829,English
79306,German
356054,English
10548,English
531,English
104931,French
4483,French
18919,Czech
31556,English
26167,English
26174,English
61461,Italian
117500,English
218713,English
217802,English
127973,English
659,German
30892,English
86369,French
8074,French
124676,English
38554,English
49763,English
41326,English
36555,English
10608,English
11216,Italian
7452,English
64567,French
892,French
1600,French
26561,English
975,English
18129,English
54405,English
150823,English
409,English
38251,Italian
10161,English
1412,English
41768,English
10409,English
14285,English
2469,Spanish
10174,English
31225,English
510,English
11455,English
1891,English
2493,English
85,English
68,English
679,English
429,Italian
13446,English
389,English
947,English
185,English
595,English
28,English
335,Italian
1892,English
144,German
1092,English
769,English
348,English
766,English
175,French
11645,Japanese
10835,Chinese
539,English
525,English
240,English
600,English
530,English
10705,English
279,English
3109,English
311,English
1578,English
703,English
9549,English
1398,Russian
387,German
9277,English
343,English
37291,English
490,Swedish
11235,English
218,English
763,English
9665,English
18971,English
696,English
379,English
207,English
37247,English
1480,English
9322,French
826,English
422,Italian
829,English
828,English
3090,English
9964,English
3063,English
13667,English
694,English
235,English
832,German
765,English
5925,English
11778,English
4485,French
137,English
33,English
982,English
8428,English
212,English
105,English
1633,English
11202,English
1554,English
149,Japanese
8009,English
903,English
11673,French
3034,English
339,English
10404,Chinese
914,English
756,English
288,English
910,English
2640,English
16633,English
665,English
11031,English
11314,English
15143,English
89,English
10322,English
783,English
10644,English
11257,English
14370,English
12104,English
625,English
8816,Swedish
830,English
2323,English
983,English
642,English
655,English
10341,German
639,English
266022,English
168450,English
30180,English
31388,English
41801,English
66034,English
348138,English
96288,English
61536,English
18762,English
331367,English
8077,English
814,English
41671,English
27214,English
52263,English
33519,English
16235,English
11449,English
41848,English
25944,English
24913,English
49126,English
32076,English
571,English
8851,English
37843,English
32146,English
30346,English
6114,English
229,English
13549,English
9529,English
1598,English
11349,English
7340,English
6217,English
377,English
653,German
28198,English
794,English
31640,English
8744,English
25189,English
145,Danish
2212,English
199,English
7863,English
12498,English
9279,English
53234,Italian
17204,English
21539,English
85589,Norwegian
12709,English
20539,English
11674,English
199512,Italian
64900,French
1573,English
152,English
174,English
172,English
154,English
157,English
168,English
364,English
11967,English
9086,English
621,English
9037,English
10173,English
55687,English
168535,English
8845,English
46681,English
578,English
579,English
17692,English
17795,English
75,English
13891,English
9390,English
378,English
10896,English
2322,English
41240,English
26949,English
9819,English
49799,English
31908,English
46027,English
3179,English
1802,French
4232,English
9361,English
2928,English
30285,English
10549,English
58102,English
18451,English
27265,English
49935,French
8818,English
36758,English
36040,English
74239,English
9415,English
55146,English
303693,English
12145,English
42424,English
34314,English
2892,English
9404,Chinese
85242,English
9622,English
8860,English
197537,English
66597,English
14832,English
9619,English
40506,English
31000,English
4104,English
26306,English
203829,English
43775,Spanish
14908,English
784,Czech
12489,English
168283,English
16448,English
55936,Russian
17894,English
28059,English
58911,English
17949,English
1968,English
61563,English
66,English
20735,English
11419,English
333165,English
25796,English
638,English
25624,English
9366,English
60083,French
21915,English
90928,English
50091,English
18420,English
19952,English
9446,English
28005,English
9403,English
27322,English
10003,English
9311,English
11844,English
884,English
49806,English
1624,English
88423,English
16052,English
4477,English
24662,English
18423,English
76996,Italian
6499,English
50512,English
9405,English
12723,English
9360,English
9434,English
118991,English
21626,English
13982,English
93946,English
77223,English
31465,English
12793,English
102878,English
105763,French
9611,English
47694,Chinese
10357,English
9977,English
816,English
2163,English
124680,English
16399,English
124843,English
31017,English
24645,English
49478,English
12499,English
18,English
68545,English
1811,English
109614,English
60082,English
53023,French
64802,German
11239,Japanese
50850,English
15321,English
2058,English
9450,English
125021,English
330,English
38523,French
16375,English
33660,English
59232,English
45671,English
17770,English
15170,English
1701,English
201445,English
26422,English
124642,English
1639,English
49235,English
106129,English
291634,English
107743,English
415,English
47686,English
65889,English
11103,English
11970,English
34941,English
407992,English
8874,English
17991,Japanese
11956,French
266,French
754,English
37567,English
43771,Persian
124834,French
249358,French
111367,English
607,English
18080,English
38225,English
17834,English
686,English
65046,English
4421,English
9387,English
10603,English
2142,English
8413,English
10336,English
20737,English
9413,English
14585,English
18519,English
49462,English
8834,English
9458,English
8854,English
38295,English
22073,English
37244,English
4961,English
9416,English
26180,English
17832,English
9772,English
6072,English
1669,English
468,English
32519,English
108401,English
10806,English
9433,English
6623,English
2118,English
978,English
9437,English
29461,English
56651,English
10351,English
66588,English
2649,English
14289,English
10155,English
75250,English
20457,English
18355,English
33657,English
55306,English
68924,English
36434,English
2255,English
28353,English
9427,English
172545,English
17589,English
3597,English
1813,English
36797,English
12628,English
33344,English
25099,English
45019,English
63437,German
62422,English
782,English
29911,English
9827,English
1959,English
251481,English
8067,English
125052,English
45153,English
10871,English
14398,English
10890,English
99002,French
1281,English
32332,English
9770,English
12616,English
34838,English
14905,English
14583,English
11975,English
4995,English
9281,English
45928,English
563,English
61337,English
19931,English
31535,English
10215,English
9823,English
37165,English
45609,English
38904,English
45565,English
9407,English
4824,English
9444,English
9414,English
8078,English
29938,English
11831,English
2895,English
39177,French
19601,English
124606,English
42832,French
22797,English
2639,English
9574,English
10371,English
489,English
167738,English
293820,English
9714,English
102406,English
170430,English
8197,English
6283,English
279698,English
49728,English
64562,English
4233,English
191874,English
10217,English
438108,English
597,English
714,English
52537,English
12799,French
62394,Italian
9922,English
547,English
25994,English
184,English
9746,English
9438,English
115,English
26941,English
27103,French
9410,English
32302,English
216794,English
88863,English
154821,English
41417,English
12538,Portuguese
586,English
2666,English
46338,English
54007,English
11258,English
9490,English
9411,English
25719,English
9033,English
11220,Chinese
21253,Portuguese
6116,English
9457,English
281289,English
43911,English
39424,English
44361,Russian
11702,English
2923,English
12238,English
11568,English
41577,Japanese
66894,English
11003,English
10153,English
49645,English
47112,English
102732,English
30949,English
2898,English
9558,English
83593,English
320011,English
26269,English
11808,English
6970,English
47452,English
18205,Spanish
36943,English
21736,English
17941,English
10668,English
9313,English
42807,English
617,English
36568,English
37272,English
5910,Japanese
9440,English
53092,English
32911,English
44308,English
124821,English
32456,English
93350,English
62695,English
32144,English
17127,English
40688,English
17133,English
19848,English
17644,English
1774,English
30265,English
2157,English
70581,English
8838,English
29193,English
795,English
16980,English
27472,English
47881,English
9469,English
12488,English
98499,English
81367,English
267,Spanish
16148,English
21252,English
73135,English
9449,English
6264,English
90414,French
188870,English
215373,English
78149,English
15513,English
31220,English
13907,English
29825,English
10622,Chinese
30020,Persian
17139,Dutch
34582,Norwegian Bokmål
10216,English
9771,English
24560,English
76330,English
9448,English
38618,English
18316,English
78373,English
77514,English
49474,English
4415,English
39467,English
55561,English
8656,English
209345,English
58680,English
35161,English
35796,English
18937,English
929,English
9452,English
1878,English
9844,English
40505,English
14342,English
9715,English
26610,Norwegian
20064,English
40961,French
1965,English
312,German
6068,English
15037,English
50043,English
37636,English
17044,English
60951,English
21334,Persian
416437,English
32284,English
51955,English
37410,English
47481,English
53765,English
10674,English
136134,English
846,English
12655,English
3050,English
1389,English
11020,English
20862,English
108548,Portuguese
9464,English
95,English
944,English
35680,English
11551,English
473,English
102304,English
544,English
10513,English
28966,English
65203,English
143,English
42861,English
33680,English
56164,English
12311,English
43277,English
43278,English
34106,English
43266,English
27367,English
17661,English
28580,English
887,English
33667,English
23383,English
25430,English
27191,English
11426,English
654,English
15919,English
1725,English
5769,English
874,English
10633,English
17917,English
3116,English
1051,English
1366,English
12102,English
16619,English
9443,English
11050,English
606,English
746,English
380,English
403,English
11485,English
466,English
13820,English
15389,English
13597,English
2108,English
10014,English
10072,English
10131,English
10160,English
11284,English
4488,English
9725,English
9728,English
9730,English
9731,English
10225,English
10281,English
10283,English
948,English
11281,English
10676,English
11357,English
11361,English
36599,English
39929,English
41828,English
41769,English
10585,English
11186,English
11187,English
609,English
11133,English
10306,English
9552,English
11586,English
11587,English
941,English
942,English
943,English
927,English
928,English
9340,English
9342,English
38509,English
60033,English
12101,English
19,German
165,English
196,English
551,English
16084,English
17984,English
22328,English
32611,English
3170,English
346,Japanese
859,English
841,English
11051,English
242,English
1411,English
9769,English
9424,English
9835,English
857,English
17539,English
44322,Chinese
22777,English
20173,English
10957,English
9570,English
16249,English
13962,English
14612,English
19378,English
65157,English
29228,English
19379,English
11164,English
18887,English
40866,English
24736,English
10122,English
24816,English
9994,English
25445,English
12129,English
14140,English
10439,English
11158,English
9354,English
28736,English
34774,English
37969,English
9631,English
9820,English
14013,English
36606,English
96196,English
98505,French
1779,English
10849,English
678,English
907,English
5961,Swedish
47908,English
42121,English
2887,English
11974,English
20348,English
26648,English
11911,German
793,English
35144,English
9325,English
43037,English
10340,English
10144,English
10414,English
10437,English
15300,English
12230,English
13380,English
10693,English
11335,English
11135,English
11319,English
14822,English
15969,English
13155,English
10249,English
15943,English
10882,English
24808,English
19762,English
13850,English
2619,English
65158,English
53565,English
41841,English
27332,English
97,English
10419,English
11675,English
2107,English
6471,English
9442,English
11591,English
13697,English
19158,English
227,English
87,English
123,English
9314,English
11336,English
9980,English
10657,English
10489,English
10823,English
11497,English
2907,English
9454,English
8688,English
118452,English
16155,English
48894,English
23954,English
12761,Swedish
396,English
14367,English
11814,English
16081,English
18331,English
15171,English
11837,English
11704,English
11639,English
4978,English
10380,English
11976,English
15144,English
11522,English
11557,English
13853,English
11415,English
37530,English
8393,English
11937,English
21661,English
9320,English
33644,English
14662,English
125124,Italian
115872,English
39930,English
10692,English
805,English
34584,English
34636,English
2182,English
28070,English
77469,English
10278,English
36647,English
17915,English
14557,English
9417,English
41469,English
19381,English
34637,English
4011,English
161795,English
1580,English
5854,English
573,English
2370,English
5780,English
506,English
22527,English
574,English
11219,English
30159,English
845,English
1978,English
3682,English
51942,English
46702,English
54795,English
46748,French
847,English
117,English
14577,English
37498,English
38621,English
59138,English
28047,English
4175,English
31667,English
13321,English
21734,English
31997,English
24197,English
11462,English
31995,English
940,English
2762,English
12684,English
2761,English
8208,English
52907,English
15007,English
36049,English
52748,English
75793,English
47695,English
31930,English
20213,English
543,English
36054,English
143750,English
52782,English
36055,English
36056,English
2760,English
64398,German
10220,English
431,English
31641,English
223318,English
69848,English
22796,English
22256,English
37550,Italian
37916,Italian
21873,English
21500,English
84116,English
12626,English
37818,English
3525,English
129628,English
2321,English
2028,English
16384,English
91217,English
77314,French
10699,English
11597,English
218624,English
47947,English
48311,English
44772,English
14347,English
41090,English
18282,English
18169,English
11082,English
5971,English
11933,English
20096,English
30815,English
881,English
4478,English
22318,English
53113,English
2109,English
122289,English
24746,English
72987,Italian
193103,English
8195,English
9877,English
26618,English
21132,English
11855,English
24016,English
14785,English
14794,English
3486,English
11071,English
1091,English
10403,English
11337,English
162,English
25723,English
73351,English
8916,English
28134,English
9429,English
12159,English
27791,English
43106,English
30197,English
10156,English
10377,English
3121,English
4975,English
37532,English
9713,English
134368,English
85837,English
1039,German
9821,English
4437,English
1890,English
1955,English
39437,English
11932,English
6435,English
108316,English
10683,English
63709,English
9445,English
2657,English
9425,English
32326,English
637,Italian
8675,English
125762,English
20701,English
9945,English
73,English
18603,English
46889,English
12888,English
3033,English
9882,English
10663,English
4518,English
1808,English
3600,English
17037,English
297,English
5332,English
21589,English
8336,English
11893,English
123056,English
12223,English
32081,English
14924,English
10002,English
41817,English
19426,Italian
12560,English
9798,English
14444,English
9487,English
9466,English
666,Portuguese
2042,English
10162,English
309,Danish
692,English
24018,English
1678,Japanese
39256,Japanese
1680,Japanese
244,English
10730,English
31947,English
8130,English
11532,English
9749,English
14628,English
9626,English
13698,English
10466,English
707,English
11954,English
9336,English
10157,English
12118,English
10587,English
11825,English
11895,English
9447,English
12257,English
37536,English
10029,English
27104,Italian
11252,English
8545,English
10223,English
9745,English
200,English
9837,English
11545,English
1934,English
110643,English
11881,English
13764,English
24951,French
8879,English
1369,English
1368,English
1370,English
10303,English
9326,English
10328,English
11285,English
1367,English
1371,English
1374,English
1375,English
15196,English
11904,English
215875,English
15596,English
13818,English
29968,English
44326,English
1885,English
8856,English
10495,English
5825,English
9489,English
16885,English
76857,English
8741,English
9276,English
9822,English
39314,English
10312,English
9441,English
9422,Portuguese
125582,English
24525,English
10368,English
11365,English
140897,English
31662,English
36136,English
1363,English
46992,English
825,English
22913,English
15556,English
28902,English
14709,English
9423,English
14443,English
10658,English
6917,English
40729,English
24086,English
11815,English
9426,English
10344,English
15698,English
2620,English
30497,English
16337,English
25018,English
16780,English
12151,English
25438,English
33278,English
274253,English
192,English
10945,English
10013,English
9671,English
9396,English
11038,English
12278,English
11873,English
18588,English
10015,English
12715,English
8388,English
45712,English
6187,French
8129,English
1618,English
10722,Spanish
296543,English
10314,English
125548,English
47139,English
11167,English
170187,English
2112,English
16172,English
111794,English
9524,German
20595,English
16306,French
11622,English
10207,English
9849,English
82865,English
18892,English
13466,English
1542,English
43978,Persian
15256,English
8224,English
18417,English
12479,English
15031,English
15209,English
26425,English
1847,English
42113,Japanese
8913,English
10906,English
25748,English
25749,English
8769,English
14742,English
15856,English
10671,English
27932,English
7227,English
10670,English
5919,English
33518,English
40160,English
2362,English
10803,English
871,English
1685,English
1705,English
1688,English
1687,English
166680,English
11123,English
29723,English
31638,English
113286,English
9535,English
9455,English
796,English
100,English
47501,English
77936,French
84586,English
30943,English
107946,English
7341,English
10350,English
11772,English
9540,English
31503,English
11773,English
30202,English
22345,English
53685,English
1567,French
1641,English
47288,English
10212,English
10354,English
11526,German
8583,English
123728,English
16520,English
16508,English
11374,English
16379,English
125123,English
28029,English
603,English
4951,English
65749,Spanish
8970,English
9840,French
186705,French
30950,English
70687,English
11660,English
9430,English
11355,English
18764,Chinese
9465,English
27455,English
1414,Spanish
49981,English
6522,English
114719,English
10209,English
25512,French
143299,English
22826,Italian
1902,Spanish
445590,Polish
6396,English
39964,English
12596,English
9451,English
1946,English
89522,English
42230,Chinese
139445,English
74140,English
1844,English
6552,English
24584,English
213985,English
25471,Chinese
4154,English
28519,English
3309,English
18462,English
28941,English
18252,English
8592,English
564,English
13852,English
140519,English
25232,English
33194,Chinese
10210,English
53862,English
17962,Japanese
9460,Chinese
4927,English
122190,English
1893,English
31342,English
44297,English
95627,English
8785,Polish
15849,English
18990,English
29242,English
29243,English
31498,English
29239,English
15660,English
1924,English
8536,English
9531,English
11411,English
138,English
30793,English
3103,English
3035,English
3077,English
3074,English
3076,English
3079,English
32023,English
13666,English
29794,English
9077,English
36685,English
43391,English
30168,English
10785,English
19483,English
8974,English
29959,English
11549,English
18158,English
27625,English
41516,English
17918,English
37305,English
18784,English
509,English
1090,English
24858,Greek
15059,English
55912,English
12117,English
11779,English
41730,English
84198,English
100568,English
13533,English
62676,English
817,English
265966,English
91598,English
14283,English
37135,English
2275,English
68426,English
24137,English
10376,Italian
104,German
15800,English
9032,English
13821,English
9421,French
55955,English
67067,English
6488,English
9473,English
8487,English
10279,English
125263,English
2767,French
78568,French
2105,English
1073,English
10239,French
10208,English
2667,English
48958,English
345,English
9825,English
16158,English
133575,English
620,English
2978,English
10490,English
11618,English
332,English
1812,English
8914,English
9824,English
4806,English
33430,English
247,English
10056,English
967,English
802,English
3175,English
147,French
1628,French
21185,English
11120,English
10136,English
32060,English
48686,English
48259,English
873,English
48660,English
26789,English
3934,French
108312,English
198469,English
11416,English
10776,English
24452,English
9710,English
31924,English
30890,English
24081,English
20242,English
39074,English
66194,English
2115,English
23599,English
3526,English
41166,English
16406,English
197239,English
10386,English
745,English
913,English
912,English
12229,English
67323,English
91076,English
89861,English
19457,English
11353,English
17707,English
9781,English
102489,French
18212,English
13817,English
126996,Italian
38715,English
48781,English
12185,English
29056,English
26857,English
28501,English
29030,English
25319,English
29074,English
24103,English
10552,English
9267,English
10766,English
10768,English
813,English
2665,English
9406,English
11418,English
11153,English
14170,English
2280,English
11077,English
28597,English
22611,English
39780,English
10396,English
9944,English
850,English
10154,English
10342,English
10366,English
9349,English
15122,English
10494,Japanese
126152,English
22314,English
51679,English
35813,English
11037,English
11955,English
2038,English
28737,English
11963,English
141489,English
53761,English
9096,English
91893,English
113273,English
103793,Dutch
1911,English
2900,English
17709,English
37718,English
47144,Serbian
104896,English
30964,English
52366,French
6373,English
2162,English
14578,English
40694,English
4338,English
49184,English
10307,English
11601,English
18621,English
1075,Serbian
21719,English
40879,English
47951,Japanese
43832,English
47697,English
49792,English
77064,English
26522,English
23761,English
24097,English
42114,English
28295,English
12105,English
14,English
24128,English
11001,English
10390,English
9453,English
704,English
35122,English
142132,English
24153,English
11797,English
18086,English
124475,English
17887,English
10669,English
11527,English
42848,English
40867,English
1049,English
28032,English
11326,English
28377,English
10975,Chinese
10974,Chinese
10398,English
2290,English
24071,English
62994,English
60994,English
16112,English
32305,English
14429,English
15198,English
6415,English
24066,English
21430,English
10381,English
171982,English
42486,English
60285,English
5622,Italian
